scope,id,ja,ko,en,source_commit
global,556,ひこうのジュエル,비행주얼,Flying Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,557,エスパージュエル,에스퍼주얼,Psychic Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,558,むしのジュエル,벌레주얼,Bug Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,559,いわのジュエル,바위주얼,Rock Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,560,ゴーストジュエル,고스트주얼,Ghost Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,561,ドラゴンジュエル,드래곤주얼,Dragon Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,562,あくのジュエル,악주얼,Dark Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,563,はがねのジュエル,강철주얼,Steel Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,564,ノーマルジュエル,노말주얼,Normal Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,565,たいりょくのハネ,체력깃털,Health Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,566,きんりょくのハネ,근력깃털,Muscle Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,567,ていこうのハネ,저항력깃털,Resist Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,568,ちりょくのハネ,지력깃털,Genius Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,569,せいしんのハネ,정신력깃털,Clever Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,570,しゅんぱつのハネ,순발력깃털,Swift Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,571,きれいなハネ,고운깃털,Pretty Feather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,572,ふたのカセキ,덮개화석,Cover Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,573,はねのカセキ,깃털화석,Plume Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,574,リバティチケット,리버티티켓,Liberty Pass,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,575,デルダマ,딜구슬,Pass Orb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,576,ドリームボール,드림볼,Dream Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,577,ポケじゃらし,포켓풀,Poké Toy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,578,グッズケース,굿즈케이스,Prop Case,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,579,ドラゴンのホネ,드래곤의뼈,Dragon Skull,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,580,かおるキノコ,향기버섯,Balm Mushroom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,581,でかいきんのたま,큰금구슬,Big Nugget,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,582,おだんごしんじゅ,경단진주,Pearl String,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,583,すいせいのかけら,혜성조각,Comet Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,584,こだいのどうか,고대의동화,Relic Copper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,585,こだいのぎんか,고대의은화,Relic Silver,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,586,こだいのきんか,고대의금화,Relic Gold,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,587,こだいのツボ,고대의항아리,Relic Vase,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,588,こだいのうでわ,고대의팔찌,Relic Band,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,589,こだいのせきぞう,고대의석상,Relic Statue,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,590,こだいのおうかん,고대의왕관,Relic Crown,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,591,ヒウンアイス,구름아이스,Casteliacone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,592,クリティカット２,크리티컬커터2,Dire Hit 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,593,スピーダー２,스피드업2,X Speed 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,594,ＳＰアップ２,스페셜업2,X Sp. Atk 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,595,ＳＰガード２,스페셜가드2,X Sp. Def 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,596,ディフェンダー２,디펜드업2,X Defense 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,597,プラスパワー２,플러스파워2,X Attack 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,598,ヨクアタール２,잘-맞히기2,X Accuracy 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,599,スピーダー３,스피드업3,X Speed 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,600,ＳＰアップ３,스페셜업3,X Sp. Atk 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,601,ＳＰガード３,스페셜가드3,X Sp. Def 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,602,ディフェンダー３,디펜드업3,X Defense 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,603,プラスパワー３,플러스파워3,X Attack 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,604,ヨクアタール３,잘-맞히기3,X Accuracy 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,605,スピーダー６,스피드업6,X Speed 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,606,ＳＰアップ６,스페셜업6,X Sp. Atk 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,607,ＳＰガード６,스페셜가드6,X Sp. Def 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,608,ディフェンダー６,디펜드업6,X Defense 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,609,プラスパワー６,플러스파워6,X Attack 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,610,ヨクアタール６,잘-맞히기6,X Accuracy 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,611,スキルコール,스킬콜,Ability Urge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,612,アイテムドロップ,아이템드롭,Item Drop,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,613,アイテムコール,아이템콜,Item Urge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,614,フラットコール,플랫콜,Reset Urge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,615,クリティカット３,크리티컬커터3,Dire Hit 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,616,ライトストーン,라이트스톤,Light Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,617,ダークストーン,다크스톤,Dark Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,618,わざマシン９３,기술머신93,TM93,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,619,わざマシン９４,기술머신94,TM94,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,620,わざマシン９５,기술머신95,TM95,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,621,ライブキャスター,라이브캐스터,Xtransceiver,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,622,ゴッドストーン,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,623,はいたつぶつ１,배달물1,Gram 1,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,624,はいたつぶつ２,배달물2,Gram 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,625,はいたつぶつ３,배달물3,Gram 3,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,626,ライブキャスター,라이브캐스터,Xtransceiver,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,627,メダルボックス,메달박스,Medal Box,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,628,いでんしのくさび,유전자쐐기,DNA Splicers,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,629,いでんしのくさび,유전자쐐기,DNA Splicers,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,630,きょかしょう,허가증,Permit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,631,まるいおまもり,둥근부적,Oval Charm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,632,ひかるおまもり,빛나는부적,Shiny Charm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,633,プラズマカード,플라스마카드,Plasma Card,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,634,よごれたハンカチ,더러운손수건,Grubby Hanky,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,635,アクロママシーン,아크로마머신,Colress Machine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,636,わすれもの,잊은물건,Dropped Item,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,637,わすれもの,잊은물건,Dropped Item,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,638,うつしかがみ,비추는거울,Reveal Glass,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,639,じゃくてんほけん,약점보험,Weakness Policy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,640,とつげきチョッキ,돌격조끼,Assault Vest,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,641,ホロキャスター,홀로캐스터,Holo Caster,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,642,はかせのてがみ,박사의편지,Prof’s Letter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,643,ローラースケート,롤러스케이트,Roller Skates,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,644,せいれいプレート,정령플레이트,Pixie Plate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,645,とくせいカプセル,특성캡슐,Ability Capsule,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,646,ホイップポップ,휘핑팝,Whipped Dream,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,647,においぶくろ,향기주머니,Sachet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,648,ひかりごけ,빛이끼,Luminous Moss,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,649,ゆきだま,눈덩이,Snowball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,650,ぼうじんゴーグル,방진고글,Safety Goggles,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,651,ポケモンのふえ,포켓몬피리,Poké Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,652,たわわこやし,주렁주렁비료,Rich Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,653,びっくりこやし,깜놀비료,Surprise Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,654,ぐんぐんこやし,부쩍부쩍비료,Boost Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,655,とんでもこやし,기절초풍비료,Amaze Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,656,ゲンガナイト,팬텀나이트,Gengarite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,657,サーナイトナイト,가디안나이트,Gardevoirite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,658,デンリュウナイト,전룡나이트,Ampharosite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,659,フシギバナイト,이상해꽃나이트,Venusaurite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,660,リザードナイトＸ,리자몽나이트X,Charizardite X,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,661,カメックスナイト,거북왕나이트,Blastoisinite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,662,ミュウツナイトＸ,뮤츠나이트X,Mewtwonite X,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,663,ミュウツナイトＹ,뮤츠나이트Y,Mewtwonite Y,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,664,バシャーモナイト,번치코나이트,Blazikenite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,665,チャーレムナイト,요가램나이트,Medichamite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,666,ヘルガナイト,헬가나이트,Houndoominite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,667,ボスゴドラナイト,보스로라나이트,Aggronite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,668,ジュペッタナイト,다크펫나이트,Banettite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,669,バンギラスナイト,마기라스나이트,Tyranitarite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,670,ハッサムナイト,핫삼나이트,Scizorite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,671,カイロスナイト,쁘사이저나이트,Pinsirite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,672,プテラナイト,프테라나이트,Aerodactylite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,673,ルカリオナイト,루카리오나이트,Lucarionite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,674,ユキノオナイト,눈설왕나이트,Abomasite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,675,ガルーラナイト,캥카나이트,Kangaskhanite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,676,ギャラドスナイト,갸라도스나이트,Gyaradosite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,677,アブソルナイト,앱솔나이트,Absolite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,678,リザードナイトＹ,리자몽나이트Y,Charizardite Y,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,679,フーディナイト,후디나이트,Alakazite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,680,ヘラクロスナイト,헤라크로스나이트,Heracronite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,681,クチートナイト,입치트나이트,Mawilite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,682,ライボルトナイト,썬더볼트나이트,Manectite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,683,ガブリアスナイト,한카리아스나이트,Garchompite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,684,ラティアスナイト,라티아스나이트,Latiasite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,685,ラティオスナイト,라티오스나이트,Latiosite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,686,ロゼルのみ,로셀열매,Roseli Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,687,アッキのみ,악키열매,Kee Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,688,タラプのみ,타라프열매,Maranga Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,689,ハスボーじょうろ,연꽃몬물뿌리개,Sprinklotad,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,690,わざマシン９６,기술머신96,TM96,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,691,わざマシン９７,기술머신97,TM97,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,692,わざマシン９８,기술머신98,TM98,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,693,わざマシン９９,기술머신99,TM99,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,694,わざマシン１００,기술머신100,TM100,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,695,はつでんしょパス,발전소패스,Power Plant Pass,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,696,メガリング,메가링,Mega Ring,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,697,すごそうないし,대단할듯한돌,Intriguing Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,698,ありふれたいし,흔해빠진돌,Common Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,699,バーゲンチケット,바겐세일티켓,Discount Coupon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,700,エレベータのキー,엘리베이터키,Elevator Key,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,701,ＴＭＶパス,TMV패스,TMV Pass,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,702,カロスエンブレム,칼로스엠블럼,Honor of Kalos,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,703,たんけんこころえ,탐험수칙,Adventure Guide,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,704,ふしぎなおきもの,이상한장식품,Strange Souvenir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,705,レンズケース,렌즈케이스,Lens Case,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,706,コスメポーチ,코스메틱파우치,Makeup Bag,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,707,いしょうトランク,의상트렁크,Travel Trunk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,708,ミアレガレット,미르갈레트,Lumiose Galette,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,709,シャラサブレ,사라사블레,Shalour Sable,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,710,アゴのカセキ,턱화석,Jaw Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,711,ヒレのカセキ,지느러미화석,Sail Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,712,ハンサムチケット,핸섬티켓,Looker Ticket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,713,じてんしゃ,자전거,Bike,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,714,ホロキャスター,홀로캐스터,Holo Caster,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,715,ようせいジュエル,페어리주얼,Fairy Gem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,716,メガチャーム,메가참,Mega Charm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,717,メガグローブ,메가글러브,Mega Glove,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,718,マッハじてんしゃ,마하자전거,Mach Bike,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,719,ダートじてんしゃ,더트자전거,Acro Bike,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,720,ホエルコじょうろ,고래왕자물뿌리개,Wailmer Pail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,721,デボンのにもつ,데봉화물,Devon Parts,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,722,はいぶくろ,재주머니,Soot Sack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,723,ちかのカギ,지하열쇠,Basement Key,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,724,ポロックキット,포켓몬스낵키트,Pokéblock Kit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,725,ダイゴへのてがみ,성호에게줄편지,Letter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,726,むげんのチケット,무한티켓,Eon Ticket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,727,たんちき,탐지기,Scanner,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,728,ゴーゴーゴーグル,고고고글,Go-Goggles,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,729,いんせき,운석,Meteorite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,730,１ごうしつのカギ,1호실열쇠,Key to Room 1,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,731,２ごうしつのカギ,2호실열쇠,Key to Room 2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,732,４ごうしつのカギ,4호실열쇠,Key to Room 4,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,733,６ごうしつのカギ,6호실열쇠,Key to Room 6,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,734,そうこのカギ,창고열쇠,Storage Key,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,735,デボンスコープ,데봉스코프,Devon Scope,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,736,ふねのチケット,승선티켓,S.S. Ticket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,737,ひでんマシン０７,비전머신07,HM07,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,738,デボンボンベ,데봉봄베,Devon Scuba Gear,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,739,ライブスーツ,라이브슈트,Contest Costume,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,740,ライブドレス,라이브드레스,Contest Costume,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,741,マグマスーツ,마그마슈트,Magma Suit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,742,アクアスーツ,아쿠아슈트,Aqua Suit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,743,ペアチケット,페어티켓,Pair of Tickets,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,744,メガバングル,메가뱅글,Mega Bracelet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,745,メガペンダント,메가펜던트,Mega Pendant,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,746,メガメガネ,메가글라스,Mega Glasses,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,747,メガイカリ,메가앵커,Mega Anchor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,748,メガラペルピン,메가라펠핀,Mega Stickpin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,749,メガティアラ,메가티아라,Mega Tiara,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,750,メガアンクレット,메가앵클릿,Mega Anklet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,751,いんせき,운석,Meteorite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,752,ラグラージナイト,대짱이나이트,Swampertite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,753,ジュカインナイト,나무킹나이트,Sceptilite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,754,ヤミラミナイト,깜까미나이트,Sablenite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,755,チルタリスナイト,파비코리나이트,Altarianite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,756,エルレイドナイト,엘레이드나이트,Galladite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,757,タブンネナイト,다부니나이트,Audinite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,758,メタグロスナイト,메타그로스나이트,Metagrossite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,759,サメハダナイト,샤크니아나이트,Sharpedonite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,760,ヤドランナイト,야도란나이트,Slowbronite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,761,ハガネールナイト,강철톤나이트,Steelixite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,762,ピジョットナイト,피죤투나이트,Pidgeotite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,763,オニゴーリナイト,얼음귀신나이트,Glalitite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,764,ディアンシナイト,디안시나이트,Diancite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,765,いましめのツボ,굴레의항아리,Prison Bottle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,766,メガブレス,메가브레스,Mega Cuff,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,767,バクーダナイト,폭타나이트,Cameruptite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,768,ミミロップナイト,이어롭나이트,Lopunnite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,769,ボーマンダナイト,보만다나이트,Salamencite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,770,スピアナイト,독침붕나이트,Beedrillite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,771,いんせき,운석,Meteorite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,772,いんせき,운석,Meteorite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,773,キーストーン,키스톤,Key Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,774,いんせきのかけら,운석조각,Meteorite Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,775,むげんのふえ,무한의피리,Eon Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,776,ノーマルＺ,노말Z,Normalium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,777,ホノオＺ,불꽃Z,Firium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,778,ミズＺ,물Z,Waterium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,779,デンキＺ,전기Z,Electrium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,780,クサＺ,풀Z,Grassium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,781,コオリＺ,얼음Z,Icium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,782,カクトウＺ,격투Z,Fightinium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,783,ドクＺ,독Z,Poisonium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,784,ジメンＺ,땅Z,Groundium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,785,ヒコウＺ,비행Z,Flyinium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,786,エスパーＺ,에스퍼Z,Psychium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,787,ムシＺ,벌레Z,Buginium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,788,イワＺ,바위Z,Rockium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,789,ゴーストＺ,고스트Z,Ghostium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,790,ドラゴンＺ,드래곤Z,Dragonium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,791,アクＺ,악Z,Darkinium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,792,ハガネＺ,강철Z,Steelium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,793,フェアリーＺ,페어리Z,Fairium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,794,ピカチュウＺ,피카츄Z,Pikanium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,795,ぎんのおうかん,은색병뚜껑,Bottle Cap,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,796,きんのおうかん,금색병뚜껑,Gold Bottle Cap,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,797,Ｚリング,Z링,Z-Ring,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,798,ジュナイパーＺ,모크나이퍼Z,Decidium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,799,ガオガエンＺ,어흥염Z,Incinium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,800,アシレーヌＺ,누리레느Z,Primarium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,801,カプＺ,카푸Z,Tapunium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,802,マーシャドーＺ,마샤도Z,Marshadium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,803,アロライＺ,알로라이Z,Aloraichium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,804,カビゴンＺ,잠만보Z,Snorlium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,805,イーブイＺ,이브이Z,Eevium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,806,ミュウＺ,뮤Z,Mewnium Z,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
