id,ja,ko,en,source_commit
153,RibbonChampionPaldea	パルデア　チャンプリボン,RibbonChampionPaldea	팔데아챔피언리본,RibbonChampionPaldea	Paldea Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
154,RibbonMarkJumbo	でっかいあかし,RibbonMarkJumbo	커다란증표,RibbonMarkJumbo	Jumbo Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
155,RibbonMarkMini	ちっちゃいあかし,RibbonMarkMini	조그만증표,RibbonMarkMini	Mini Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
156,RibbonMarkItemfinder	ものひろいのあかし,RibbonMarkItemfinder	습득의증표,RibbonMarkItemfinder	Itemfinder Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
157,RibbonMarkPartner	あいぼうのあかし,RibbonMarkPartner	파트너의증표,RibbonMarkPartner	Partner Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
158,RibbonMarkGourmand	グルメなあかし,RibbonMarkGourmand	미식가의증표,RibbonMarkGourmand	Gourmand Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
159,RibbonOnceInALifetime	せんざいいちぐうリボン,RibbonOnceInALifetime	천재일우리본,RibbonOnceInALifetime	Once-in-a-Lifetime,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
160,RibbonMarkAlpha	オヤブンのあかし,RibbonMarkAlpha	우두머리의증표,RibbonMarkAlpha	Alpha Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
161,RibbonMarkMightiest	さいきょうのあかし,RibbonMarkMightiest	최강의증표,RibbonMarkMightiest	Mightiest Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
162,RibbonMarkTitan	ヌシのあかし,RibbonMarkTitan	주인의증표,RibbonMarkTitan	Titan Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
163,RibbonPartner	パートナーリボン,RibbonPartner	파트너리본,RibbonPartner	Partner,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
