id,diamond_pearl,platinum,heartgold_soulsilver,relationship,note
"273","ITEM_FLAME_ORB","ITEM_FLAME_ORB","ITEM_FLAME_ORB","common",""
"274","ITEM_QUICK_POWDER","ITEM_QUICK_POWDER","ITEM_QUICK_POWDER","common",""
"275","ITEM_FOCUS_SASH","ITEM_FOCUS_SASH","ITEM_FOCUS_SASH","common",""
"276","ITEM_ZOOM_LENS","ITEM_ZOOM_LENS","ITEM_ZOOM_LENS","common",""
"277","ITEM_METRONOME","ITEM_METRONOME","ITEM_METRONOME","common",""
"278","ITEM_IRON_BALL","ITEM_IRON_BALL","ITEM_IRON_BALL","common",""
"279","ITEM_LAGGING_TAIL","ITEM_LAGGING_TAIL","ITEM_LAGGING_TAIL","common",""
"280","ITEM_DESTINY_KNOT","ITEM_DESTINY_KNOT","ITEM_DESTINY_KNOT","common",""
"281","ITEM_BLACK_SLUDGE","ITEM_BLACK_SLUDGE","ITEM_BLACK_SLUDGE","common",""
"282","ITEM_ICY_ROCK","ITEM_ICY_ROCK","ITEM_ICY_ROCK","common",""
"283","ITEM_SMOOTH_ROCK","ITEM_SMOOTH_ROCK","ITEM_SMOOTH_ROCK","common",""
"284","ITEM_HEAT_ROCK","ITEM_HEAT_ROCK","ITEM_HEAT_ROCK","common",""
"285","ITEM_DAMP_ROCK","ITEM_DAMP_ROCK","ITEM_DAMP_ROCK","common",""
"286","ITEM_GRIP_CLAW","ITEM_GRIP_CLAW","ITEM_GRIP_CLAW","common",""
"287","ITEM_CHOICE_SCARF","ITEM_CHOICE_SCARF","ITEM_CHOICE_SCARF","common",""
"288","ITEM_STICKY_BARB","ITEM_STICKY_BARB","ITEM_STICKY_BARB","common",""
"289","ITEM_POWER_BRACER","ITEM_POWER_BRACER","ITEM_POWER_BRACER","common",""
"290","ITEM_POWER_BELT","ITEM_POWER_BELT","ITEM_POWER_BELT","common",""
"291","ITEM_POWER_LENS","ITEM_POWER_LENS","ITEM_POWER_LENS","common",""
"292","ITEM_POWER_BAND","ITEM_POWER_BAND","ITEM_POWER_BAND","common",""
"293","ITEM_POWER_ANKLET","ITEM_POWER_ANKLET","ITEM_POWER_ANKLET","common",""
"294","ITEM_POWER_WEIGHT","ITEM_POWER_WEIGHT","ITEM_POWER_WEIGHT","common",""
"295","ITEM_SHED_SHELL","ITEM_SHED_SHELL","ITEM_SHED_SHELL","common",""
"296","ITEM_BIG_ROOT","ITEM_BIG_ROOT","ITEM_BIG_ROOT","common",""
"297","ITEM_CHOICE_SPECS","ITEM_CHOICE_SPECS","ITEM_CHOICE_SPECS","common",""
"298","ITEM_FLAME_PLATE","ITEM_FLAME_PLATE","ITEM_FLAME_PLATE","common",""
"299","ITEM_SPLASH_PLATE","ITEM_SPLASH_PLATE","ITEM_SPLASH_PLATE","common",""
"300","ITEM_ZAP_PLATE","ITEM_ZAP_PLATE","ITEM_ZAP_PLATE","common",""
"301","ITEM_MEADOW_PLATE","ITEM_MEADOW_PLATE","ITEM_MEADOW_PLATE","common",""
"302","ITEM_ICICLE_PLATE","ITEM_ICICLE_PLATE","ITEM_ICICLE_PLATE","common",""
"303","ITEM_FIST_PLATE","ITEM_FIST_PLATE","ITEM_FIST_PLATE","common",""
"304","ITEM_TOXIC_PLATE","ITEM_TOXIC_PLATE","ITEM_TOXIC_PLATE","common",""
"305","ITEM_EARTH_PLATE","ITEM_EARTH_PLATE","ITEM_EARTH_PLATE","common",""
"306","ITEM_SKY_PLATE","ITEM_SKY_PLATE","ITEM_SKY_PLATE","common",""
"307","ITEM_MIND_PLATE","ITEM_MIND_PLATE","ITEM_MIND_PLATE","common",""
"308","ITEM_INSECT_PLATE","ITEM_INSECT_PLATE","ITEM_INSECT_PLATE","common",""
"309","ITEM_STONE_PLATE","ITEM_STONE_PLATE","ITEM_STONE_PLATE","common",""
"310","ITEM_SPOOKY_PLATE","ITEM_SPOOKY_PLATE","ITEM_SPOOKY_PLATE","common",""
"311","ITEM_DRACO_PLATE","ITEM_DRACO_PLATE","ITEM_DRACO_PLATE","common",""
"312","ITEM_DREAD_PLATE","ITEM_DREAD_PLATE","ITEM_DREAD_PLATE","common",""
"313","ITEM_IRON_PLATE","ITEM_IRON_PLATE","ITEM_IRON_PLATE","common",""
"314","ITEM_ODD_INCENSE","ITEM_ODD_INCENSE","ITEM_ODD_INCENSE","common",""
"315","ITEM_ROCK_INCENSE","ITEM_ROCK_INCENSE","ITEM_ROCK_INCENSE","common",""
"316","ITEM_FULL_INCENSE","ITEM_FULL_INCENSE","ITEM_FULL_INCENSE","common",""
"317","ITEM_WAVE_INCENSE","ITEM_WAVE_INCENSE","ITEM_WAVE_INCENSE","common",""
"318","ITEM_ROSE_INCENSE","ITEM_ROSE_INCENSE","ITEM_ROSE_INCENSE","common",""
"319","ITEM_LUCK_INCENSE","ITEM_LUCK_INCENSE","ITEM_LUCK_INCENSE","common",""
"320","ITEM_PURE_INCENSE","ITEM_PURE_INCENSE","ITEM_PURE_INCENSE","common",""
"321","ITEM_PROTECTOR","ITEM_PROTECTOR","ITEM_PROTECTOR","common",""
"322","ITEM_ELECTIRIZER","ITEM_ELECTIRIZER","ITEM_ELECTIRIZER","common",""
"323","ITEM_MAGMARIZER","ITEM_MAGMARIZER","ITEM_MAGMARIZER","common",""
"324","ITEM_DUBIOUS_DISC","ITEM_DUBIOUS_DISC","ITEM_DUBIOUS_DISC","common",""
"325","ITEM_REAPER_CLOTH","ITEM_REAPER_CLOTH","ITEM_REAPER_CLOTH","common",""
"326","ITEM_RAZOR_CLAW","ITEM_RAZOR_CLAW","ITEM_RAZOR_CLAW","common",""
"327","ITEM_RAZOR_FANG","ITEM_RAZOR_FANG","ITEM_RAZOR_FANG","common",""
"328","ITEM_TM01","ITEM_TM01","ITEM_TM01","common",""
"329","ITEM_TM02","ITEM_TM02","ITEM_TM02","common",""
"330","ITEM_TM03","ITEM_TM03","ITEM_TM03","common",""
"331","ITEM_TM04","ITEM_TM04","ITEM_TM04","common",""
"332","ITEM_TM05","ITEM_TM05","ITEM_TM05","common",""
"333","ITEM_TM06","ITEM_TM06","ITEM_TM06","common",""
"334","ITEM_TM07","ITEM_TM07","ITEM_TM07","common",""
"335","ITEM_TM08","ITEM_TM08","ITEM_TM08","common",""
"336","ITEM_TM09","ITEM_TM09","ITEM_TM09","common",""
"337","ITEM_TM10","ITEM_TM10","ITEM_TM10","common",""
"338","ITEM_TM11","ITEM_TM11","ITEM_TM11","common",""
"339","ITEM_TM12","ITEM_TM12","ITEM_TM12","common",""
"340","ITEM_TM13","ITEM_TM13","ITEM_TM13","common",""
"341","ITEM_TM14","ITEM_TM14","ITEM_TM14","common",""
"342","ITEM_TM15","ITEM_TM15","ITEM_TM15","common",""
"343","ITEM_TM16","ITEM_TM16","ITEM_TM16","common",""
"344","ITEM_TM17","ITEM_TM17","ITEM_TM17","common",""
"345","ITEM_TM18","ITEM_TM18","ITEM_TM18","common",""
"346","ITEM_TM19","ITEM_TM19","ITEM_TM19","common",""
"347","ITEM_TM20","ITEM_TM20","ITEM_TM20","common",""
"348","ITEM_TM21","ITEM_TM21","ITEM_TM21","common",""
"349","ITEM_TM22","ITEM_TM22","ITEM_TM22","common",""
"350","ITEM_TM23","ITEM_TM23","ITEM_TM23","common",""
"351","ITEM_TM24","ITEM_TM24","ITEM_TM24","common",""
"352","ITEM_TM25","ITEM_TM25","ITEM_TM25","common",""
"353","ITEM_TM26","ITEM_TM26","ITEM_TM26","common",""
"354","ITEM_TM27","ITEM_TM27","ITEM_TM27","common",""
"355","ITEM_TM28","ITEM_TM28","ITEM_TM28","common",""
"356","ITEM_TM29","ITEM_TM29","ITEM_TM29","common",""
"357","ITEM_TM30","ITEM_TM30","ITEM_TM30","common",""
"358","ITEM_TM31","ITEM_TM31","ITEM_TM31","common",""
"359","ITEM_TM32","ITEM_TM32","ITEM_TM32","common",""
"360","ITEM_TM33","ITEM_TM33","ITEM_TM33","common",""
"361","ITEM_TM34","ITEM_TM34","ITEM_TM34","common",""
"362","ITEM_TM35","ITEM_TM35","ITEM_TM35","common",""
"363","ITEM_TM36","ITEM_TM36","ITEM_TM36","common",""
"364","ITEM_TM37","ITEM_TM37","ITEM_TM37","common",""
"365","ITEM_TM38","ITEM_TM38","ITEM_TM38","common",""
"366","ITEM_TM39","ITEM_TM39","ITEM_TM39","common",""
"367","ITEM_TM40","ITEM_TM40","ITEM_TM40","common",""
"368","ITEM_TM41","ITEM_TM41","ITEM_TM41","common",""
"369","ITEM_TM42","ITEM_TM42","ITEM_TM42","common",""
"370","ITEM_TM43","ITEM_TM43","ITEM_TM43","common",""
"371","ITEM_TM44","ITEM_TM44","ITEM_TM44","common",""
"372","ITEM_TM45","ITEM_TM45","ITEM_TM45","common",""
"373","ITEM_TM46","ITEM_TM46","ITEM_TM46","common",""
"374","ITEM_TM47","ITEM_TM47","ITEM_TM47","common",""
"375","ITEM_TM48","ITEM_TM48","ITEM_TM48","common",""
"376","ITEM_TM49","ITEM_TM49","ITEM_TM49","common",""
"377","ITEM_TM50","ITEM_TM50","ITEM_TM50","common",""
"378","ITEM_TM51","ITEM_TM51","ITEM_TM51","common",""
"379","ITEM_TM52","ITEM_TM52","ITEM_TM52","common",""
"380","ITEM_TM53","ITEM_TM53","ITEM_TM53","common",""
"381","ITEM_TM54","ITEM_TM54","ITEM_TM54","common",""
"382","ITEM_TM55","ITEM_TM55","ITEM_TM55","common",""
"383","ITEM_TM56","ITEM_TM56","ITEM_TM56","common",""
"384","ITEM_TM57","ITEM_TM57","ITEM_TM57","common",""
"385","ITEM_TM58","ITEM_TM58","ITEM_TM58","common",""
"386","ITEM_TM59","ITEM_TM59","ITEM_TM59","common",""
"387","ITEM_TM60","ITEM_TM60","ITEM_TM60","common",""
"388","ITEM_TM61","ITEM_TM61","ITEM_TM61","common",""
"389","ITEM_TM62","ITEM_TM62","ITEM_TM62","common",""
"390","ITEM_TM63","ITEM_TM63","ITEM_TM63","common",""
"391","ITEM_TM64","ITEM_TM64","ITEM_TM64","common",""
"392","ITEM_TM65","ITEM_TM65","ITEM_TM65","common",""
"393","ITEM_TM66","ITEM_TM66","ITEM_TM66","common",""
"394","ITEM_TM67","ITEM_TM67","ITEM_TM67","common",""
"395","ITEM_TM68","ITEM_TM68","ITEM_TM68","common",""
"396","ITEM_TM69","ITEM_TM69","ITEM_TM69","common",""
"397","ITEM_TM70","ITEM_TM70","ITEM_TM70","common",""
"398","ITEM_TM71","ITEM_TM71","ITEM_TM71","common",""
"399","ITEM_TM72","ITEM_TM72","ITEM_TM72","common",""
"400","ITEM_TM73","ITEM_TM73","ITEM_TM73","common",""
"401","ITEM_TM74","ITEM_TM74","ITEM_TM74","common",""
"402","ITEM_TM75","ITEM_TM75","ITEM_TM75","common",""
"403","ITEM_TM76","ITEM_TM76","ITEM_TM76","common",""
"404","ITEM_TM77","ITEM_TM77","ITEM_TM77","common",""
"405","ITEM_TM78","ITEM_TM78","ITEM_TM78","common",""
"406","ITEM_TM79","ITEM_TM79","ITEM_TM79","common",""
"407","ITEM_TM80","ITEM_TM80","ITEM_TM80","common",""
"408","ITEM_TM81","ITEM_TM81","ITEM_TM81","common",""
"409","ITEM_TM82","ITEM_TM82","ITEM_TM82","common",""
"410","ITEM_TM83","ITEM_TM83","ITEM_TM83","common",""
"411","ITEM_TM84","ITEM_TM84","ITEM_TM84","common",""
"412","ITEM_TM85","ITEM_TM85","ITEM_TM85","common",""
"413","ITEM_TM86","ITEM_TM86","ITEM_TM86","common",""
"414","ITEM_TM87","ITEM_TM87","ITEM_TM87","common",""
"415","ITEM_TM88","ITEM_TM88","ITEM_TM88","common",""
"416","ITEM_TM89","ITEM_TM89","ITEM_TM89","common",""
"417","ITEM_TM90","ITEM_TM90","ITEM_TM90","common",""
"418","ITEM_TM91","ITEM_TM91","ITEM_TM91","common",""
"419","ITEM_TM92","ITEM_TM92","ITEM_TM92","common",""
"420","ITEM_HM01","ITEM_HM01","ITEM_HM01","common",""
"421","ITEM_HM02","ITEM_HM02","ITEM_HM02","common",""
"422","ITEM_HM03","ITEM_HM03","ITEM_HM03","common",""
"423","ITEM_HM04","ITEM_HM04","ITEM_HM04","common",""
"424","ITEM_HM05","ITEM_HM05","ITEM_HM05","common",""
"425","ITEM_HM06","ITEM_HM06","ITEM_HM06","common",""
"426","ITEM_HM07","ITEM_HM07","ITEM_HM07","common",""
"427","ITEM_HM08","ITEM_HM08","ITEM_HM08","common",""
"428","ITEM_EXPLORER_KIT","ITEM_EXPLORER_KIT","ITEM_EXPLORER_KIT","common",""
"429","ITEM_LOOT_SACK","ITEM_LOOT_SACK","ITEM_LOOT_SACK","common",""
"430","ITEM_RULE_BOOK","ITEM_RULE_BOOK","ITEM_RULE_BOOK","common",""
"431","ITEM_POKE_RADAR","ITEM_POKE_RADAR","ITEM_POKE_RADAR","common",""
"432","ITEM_POINT_CARD","ITEM_POINT_CARD","ITEM_POINT_CARD","common",""
"433","ITEM_JOURNAL","ITEM_JOURNAL","ITEM_JOURNAL","common",""
"434","ITEM_SEAL_CASE","ITEM_SEAL_CASE","ITEM_SEAL_CASE","common",""
"435","ITEM_FASHION_CASE","ITEM_FASHION_CASE","ITEM_FASHION_CASE","common",""
"436","ITEM_SEAL_BAG","ITEM_SEAL_BAG","ITEM_SEAL_BAG","common",""
"437","ITEM_PAL_PAD","ITEM_PAL_PAD","ITEM_PAL_PAD","common",""
"438","ITEM_WORKS_KEY","ITEM_WORKS_KEY","ITEM_WORKS_KEY","common",""
"439","ITEM_OLD_CHARM","ITEM_OLD_CHARM","ITEM_OLD_CHARM","common",""
"440","ITEM_GALACTIC_KEY","ITEM_GALACTIC_KEY","ITEM_GALACTIC_KEY","common",""
"441","ITEM_RED_CHAIN","ITEM_RED_CHAIN","ITEM_RED_CHAIN","common",""
"442","ITEM_TOWN_MAP","ITEM_TOWN_MAP","ITEM_TOWN_MAP","common",""
"443","ITEM_VS__SEEKER","ITEM_VS_SEEKER","ITEM_VS__SEEKER","common","symbol spelling differs only"
"444","ITEM_COIN_CASE","ITEM_COIN_CASE","ITEM_COIN_CASE","common",""
"445","ITEM_OLD_ROD","ITEM_OLD_ROD","ITEM_OLD_ROD","common",""
"446","ITEM_GOOD_ROD","ITEM_GOOD_ROD","ITEM_GOOD_ROD","common",""
"447","ITEM_SUPER_ROD","ITEM_SUPER_ROD","ITEM_SUPER_ROD","common",""
"448","ITEM_SPRAYDUCK","ITEM_SPRAYDUCK","ITEM_SPRAYDUCK","common",""
"449","ITEM_POFFIN_CASE","ITEM_POFFIN_CASE","ITEM_POFFIN_CASE","common",""
"450","ITEM_BICYCLE","ITEM_BICYCLE","ITEM_BICYCLE","common",""
"451","ITEM_SUITE_KEY","ITEM_SUITE_KEY","ITEM_SUITE_KEY","common",""
"452","ITEM_OAKS_LETTER","ITEM_OAKS_LETTER","ITEM_OAKS_LETTER","common",""
"453","ITEM_LUNAR_WING","ITEM_LUNAR_WING","ITEM_LUNAR_WING","common",""
"454","ITEM_MEMBER_CARD","ITEM_MEMBER_CARD","ITEM_MEMBER_CARD","common",""
"455","ITEM_AZURE_FLUTE","ITEM_AZURE_FLUTE","ITEM_AZURE_FLUTE","common",""
"456","ITEM_S_S__TICKET","ITEM_S_S_TICKET","ITEM_S_S__TICKET","common","symbol spelling differs only"
"457","ITEM_CONTEST_PASS","ITEM_CONTEST_PASS","ITEM_CONTEST_PASS","common",""
"458","ITEM_MAGMA_STONE","ITEM_MAGMA_STONE","ITEM_MAGMA_STONE","common",""
"459","ITEM_PARCEL","ITEM_PARCEL","ITEM_PARCEL","common",""
"460","ITEM_COUPON_1","ITEM_COUPON_1","ITEM_COUPON_1","common",""
"461","ITEM_COUPON_2","ITEM_COUPON_2","ITEM_COUPON_2","common",""
"462","ITEM_COUPON_3","ITEM_COUPON_3","ITEM_COUPON_3","common",""
"463","ITEM_STORAGE_KEY","ITEM_STORAGE_KEY","ITEM_STORAGE_KEY","common",""
"464","ITEM_SECRETPOTION","ITEM_SECRETPOTION","ITEM_SECRETPOTION","common",""
"465","","ITEM_VS_RECORDER","ITEM_VS__RECORDER","pt_hgss","DP has no named constant at this ID"
"466","","ITEM_GRACIDEA","ITEM_GRACIDEA","pt_hgss","DP has no named constant at this ID"
"467","","ITEM_SECRET_KEY","ITEM_SECRET_KEY","pt_hgss","DP has no named constant at this ID"
"468","","","ITEM_APRICORN_BOX","hgss_only","added after Platinum range"
"469","","","ITEM_UNOWN_REPORT","hgss_only","added after Platinum range"
"470","","","ITEM_BERRY_POTS","hgss_only","added after Platinum range"
"471","","","ITEM_DOWSING_MCHN","hgss_only","added after Platinum range"
"472","","","ITEM_BLUE_CARD","hgss_only","added after Platinum range"
"473","","","ITEM_SLOWPOKETAIL","hgss_only","added after Platinum range"
"474","","","ITEM_CLEAR_BELL","hgss_only","added after Platinum range"
"475","","","ITEM_CARD_KEY","hgss_only","added after Platinum range"
"476","","","ITEM_BASEMENT_KEY","hgss_only","added after Platinum range"
"477","","","ITEM_SQUIRTBOTTLE","hgss_only","added after Platinum range"
"478","","","ITEM_RED_SCALE","hgss_only","added after Platinum range"
"479","","","ITEM_LOST_ITEM","hgss_only","added after Platinum range"
"480","","","ITEM_PASS","hgss_only","added after Platinum range"
"481","","","ITEM_MACHINE_PART","hgss_only","added after Platinum range"
"482","","","ITEM_SILVER_WING","hgss_only","added after Platinum range"
"483","","","ITEM_RAINBOW_WING","hgss_only","added after Platinum range"
"484","","","ITEM_MYSTERY_EGG","hgss_only","added after Platinum range"
"485","","","ITEM_RED_APRICORN","hgss_only","added after Platinum range"
"486","","","ITEM_YLW_APRICORN","hgss_only","added after Platinum range"
"487","","","ITEM_BLU_APRICORN","hgss_only","added after Platinum range"
"488","","","ITEM_GRN_APRICORN","hgss_only","added after Platinum range"
"489","","","ITEM_PNK_APRICORN","hgss_only","added after Platinum range"
"490","","","ITEM_WHT_APRICORN","hgss_only","added after Platinum range"
"491","","","ITEM_BLK_APRICORN","hgss_only","added after Platinum range"
"492","","","ITEM_FAST_BALL","hgss_only","added after Platinum range"
"493","","","ITEM_LEVEL_BALL","hgss_only","added after Platinum range"
"494","","","ITEM_LURE_BALL","hgss_only","added after Platinum range"
"495","","","ITEM_HEAVY_BALL","hgss_only","added after Platinum range"
"496","","","ITEM_LOVE_BALL","hgss_only","added after Platinum range"
"497","","","ITEM_FRIEND_BALL","hgss_only","added after Platinum range"
"498","","","ITEM_MOON_BALL","hgss_only","added after Platinum range"
"499","","","ITEM_SPORT_BALL","hgss_only","added after Platinum range"
"500","","","ITEM_PARK_BALL","hgss_only","added after Platinum range"
"501","","","ITEM_PHOTO_ALBUM","hgss_only","added after Platinum range"
"502","","","ITEM_GB_SOUNDS","hgss_only","added after Platinum range"
"503","","","ITEM_TIDAL_BELL","hgss_only","added after Platinum range"
"504","","","ITEM_RAGECANDYBAR","hgss_only","added after Platinum range"
"505","","","ITEM_DATA_CARD_01","hgss_only","added after Platinum range"
"506","","","ITEM_DATA_CARD_02","hgss_only","added after Platinum range"
"507","","","ITEM_DATA_CARD_03","hgss_only","added after Platinum range"
"508","","","ITEM_DATA_CARD_04","hgss_only","added after Platinum range"
"509","","","ITEM_DATA_CARD_05","hgss_only","added after Platinum range"
"510","","","ITEM_DATA_CARD_06","hgss_only","added after Platinum range"
"511","","","ITEM_DATA_CARD_07","hgss_only","added after Platinum range"
"512","","","ITEM_DATA_CARD_08","hgss_only","added after Platinum range"
"513","","","ITEM_DATA_CARD_09","hgss_only","added after Platinum range"
"514","","","ITEM_DATA_CARD_10","hgss_only","added after Platinum range"
"515","","","ITEM_DATA_CARD_11","hgss_only","added after Platinum range"
"516","","","ITEM_DATA_CARD_12","hgss_only","added after Platinum range"
"517","","","ITEM_DATA_CARD_13","hgss_only","added after Platinum range"
"518","","","ITEM_DATA_CARD_14","hgss_only","added after Platinum range"
"519","","","ITEM_DATA_CARD_15","hgss_only","added after Platinum range"
"520","","","ITEM_DATA_CARD_16","hgss_only","added after Platinum range"
"521","","","ITEM_DATA_CARD_17","hgss_only","added after Platinum range"
"522","","","ITEM_DATA_CARD_18","hgss_only","added after Platinum range"
"523","","","ITEM_DATA_CARD_19","hgss_only","added after Platinum range"
"524","","","ITEM_DATA_CARD_20","hgss_only","added after Platinum range"
"525","","","ITEM_DATA_CARD_21","hgss_only","added after Platinum range"
"526","","","ITEM_DATA_CARD_22","hgss_only","added after Platinum range"
"527","","","ITEM_DATA_CARD_23","hgss_only","added after Platinum range"
"528","","","ITEM_DATA_CARD_24","hgss_only","added after Platinum range"
"529","","","ITEM_DATA_CARD_25","hgss_only","added after Platinum range"
"530","","","ITEM_DATA_CARD_26","hgss_only","added after Platinum range"
"531","","","ITEM_DATA_CARD_27","hgss_only","added after Platinum range"
"532","","","ITEM_JADE_ORB","hgss_only","added after Platinum range"
"533","","","ITEM_LOCK_CAPSULE","hgss_only","added after Platinum range"
"534","","","ITEM_RED_ORB","hgss_only","added after Platinum range"
"535","","","ITEM_BLUE_ORB","hgss_only","added after Platinum range"
"536","","","ITEM_ENIGMA_STONE","hgss_only","added after Platinum range"
